,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
339,MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,8.85,3.87,28.47,2.76,0.24,51.47,0.53,0.21,0.14,3.46,6372,2785,20485,1985,172,37038,382,152,101,2490,75.7,97607,73885,1.0,0.11,1.49,739,82,1102,MENDOZA
340,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",FRENTE DE TODOS,7.54,2.23,48.08,10.58,0.25,28.08,0.52,0.18,0.19,2.36,2077,615,13250,2915,69,7738,144,49,52,651,76.28,37034,28248,1.23,0.07,1.13,348,20,320,MENDOZA
341,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",JUNTOS POR EL CAMBIO,10.43,4.79,32.49,2.6,0.28,45.3,0.6,0.25,0.2,3.06,12097,5552,37684,3017,330,52547,701,291,228,3550,77.04,155427,119734,1.12,0.12,1.88,1341,142,2254,MENDOZA
342,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",JUNTOS POR EL CAMBIO,10.24,4.76,36.11,3.11,0.33,41.71,0.54,0.26,0.2,2.75,17530,8142,61818,5326,559,71412,923,448,341,4709,78.03,226707,176904,1.06,0.15,2.01,1882,267,3547,MENDOZA
343,MENDOZA_JUNIN,"Junin, Mendoza",FRENTE DE TODOS,9.86,4.8,41.11,2.89,0.28,38.0,0.55,0.32,0.19,2.01,2615,1273,10901,767,73,10077,145,84,50,532,80.25,34255,27490,1.34,0.06,2.14,367,17,589,MENDOZA
344,MENDOZA_LA PAZ,"La Paz, Mendoza",FRENTE DE TODOS,3.91,1.58,53.12,1.4,0.25,38.43,0.35,0.14,0.09,0.74,270,109,3670,97,17,2655,24,10,6,51,81.76,8667,7086,1.35,0.06,1.09,96,4,77,MENDOZA
345,MENDOZA_LAS HERAS,"Las Heras, Mendoza",FRENTE DE TODOS,9.55,4.8,43.61,3.92,0.34,34.5,0.56,0.27,0.19,2.26,11636,5842,53113,4777,410,42014,685,328,228,2755,78.75,160144,126110,1.24,0.15,2.04,1561,193,2568,MENDOZA
346,MENDOZA_LAVALLE,"Lavalle, Mendoza",FRENTE DE TODOS,6.34,4.44,59.61,2.74,0.4,24.51,0.49,0.23,0.17,1.07,1574,1102,14806,680,99,6088,122,58,42,267,79.21,32215,25518,1.06,0.11,1.49,271,28,381,MENDOZA
347,MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",JUNTOS POR EL CAMBIO,9.83,4.44,35.78,2.7,0.23,43.47,0.57,0.21,0.17,2.61,8041,3635,29279,2211,189,35577,465,171,138,2133,80.26,105275,84493,1.15,0.09,1.91,970,73,1611,MENDOZA
348,MENDOZA_MAIPU,"Maipu, Mendoza",FRENTE DE TODOS,10.48,4.62,42.95,2.66,0.28,35.6,0.54,0.25,0.17,2.44,11651,5136,47729,2954,308,39567,600,277,193,2713,80.53,142891,115071,1.31,0.07,2.05,1513,76,2354,MENDOZA
349,MENDOZA_MALARGÜE,"Malargüe, Mendoza",FRENTE DE TODOS,7.62,3.44,51.04,7.2,0.41,27.13,0.75,0.35,0.22,1.84,1292,583,8658,1221,70,4603,127,60,38,312,75.5,23395,17664,2.37,0.1,1.49,419,18,263,MENDOZA
350,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",FRENTE DE TODOS,8.55,4.37,44.79,2.94,0.43,36.02,0.61,0.23,0.17,1.89,2955,1512,15481,1016,149,12450,211,79,60,653,81.03,44075,35715,1.51,0.06,1.65,540,20,589,MENDOZA
351,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",FRENTE DE TODOS,9.88,4.06,45.83,3.38,0.3,33.4,0.89,0.29,0.32,1.63,2012,827,9330,689,62,6800,181,59,66,332,80.23,26235,21048,1.31,0.13,1.84,275,27,388,MENDOZA
352,MENDOZA_SAN MARTIN,"San Martin, Mendoza",FRENTE DE TODOS,8.72,3.88,47.43,3.26,0.34,33.6,0.51,0.26,0.16,1.83,6354,2824,34562,2379,248,24485,374,188,114,1337,79.67,94197,75048,1.09,0.12,1.7,815,93,1275,MENDOZA
353,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",FRENTE DE TODOS,8.58,2.71,45.59,8.17,0.37,31.23,0.55,0.31,0.18,2.3,9518,3006,50563,9060,409,34636,610,341,198,2555,77.87,146726,114256,1.33,0.06,1.55,1525,63,1772,MENDOZA
354,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",FRENTE DE TODOS,5.79,2.74,61.62,1.72,0.12,26.25,0.4,0.21,0.07,1.09,614,290,6532,182,13,2782,42,22,7,116,80.33,13522,10862,1.35,0.14,0.92,147,15,100,MENDOZA
355,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",FRENTE DE TODOS,8.78,4.72,44.61,5.18,0.26,33.48,0.67,0.25,0.24,1.8,2676,1440,13595,1580,80,10203,203,77,74,550,79.63,39277,31276,1.17,0.1,1.29,365,30,403,MENDOZA
356,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",FRENTE DE TODOS,7.4,4.23,49.21,5.53,0.31,30.84,0.63,0.23,0.21,1.41,1403,802,9327,1049,58,5845,120,43,39,268,77.24,25239,19494,1.1,0.1,1.57,214,20,306,MENDOZA
426,SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",FRENTE DE TODOS,6.34,0.75,72.52,2.88,0.13,16.52,0.37,0.13,0.0,0.34,615,73,7040,280,13,1604,36,13,0,33,73.11,13554,9909,1.56,0.09,0.38,155,9,38,SAN JUAN
